Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
Round,Pick,,Team,Player,Position,Nationality,Height,Weight,Junior Team,Junior League
1,1,1 NA,TBL,Steven Stamkos,C,CAN,6′ 1,188,Sarnia,OHL
1,2,2 NA,LAK,Drew Doughty,D,CAN,6′ 0,212,Guelph,OHL
1,3,3 NA,ATL,Zach Bogosian,D,USA,6′ 3,215,Peterborough,OHL
1,4,5 NA,STL,Alex Pietrangelo,D,CAN,6′ 3,206,Niagara,OHL
1,5,7 NA,TOR,Luke Schenn,D,CAN,6′ 2,229,Kelowna,WHL
1,6,1 EUR,CBJ,Nikita Filatov,L,RUS,6′ 0,190,CSKA 2,RUSSIA-3
1,7,9 NA,NSH,Colin Wilson,C,USA,6′ 1,214,Boston University,H-EAST
1,8,13 NA,PHX,Mikkel Boedker,L,DNK,5′ 11,202,Kitchener,OHL
1,9,12 NA,NYI,Josh Bailey,C,CAN,6′ 1,201,Windsor,OHL
1,10,10 NA,VAN,Cody Hodgson,C,CAN,6′ 0,185,Brampton,OHL
1,11,4 NA,CHI,Kyle Beach,LW,CAN,6′ 3,202,Everett,WHL
1,12,6 NA,BUF,Tyler Myers,D,USA,6′ 8,227,Kelowna,WHL
1,13,27 NA,LAK,Colten Teubert,D,CAN,6′ 4,195,Regina,WHL
1,14,11 NA,CAR,Zach Boychuk,C,CAN,5′ 10,185,Lethbridge,WHL
1,15,4 EUR,OTT,Erik Karlsson,D,SWE,6′ 0,175,Frolunda Jr.,SWE-JR.
1,16,30 NA,BOS,Joe Colborne,C,CAN,6′ 5,190,Camrose,AJHL
1,17,22 NA,ANA,Jake Gardiner,D,USA,6′ 1,173,Minnetonka,HIGH-MN
1,18,2 NA-G,NSH,Chet Pickard,G,CAN,6′ 2,213,Tri-City,WHL
1,19,18 NA,PHI,Luca Sbisa,D,ITA,6′ 2,204,Lethbridge,WHL
1,20,14 NA,NYR,Michael Del Zotto,D,CAN,6′ 0,193,Oshawa,OHL
1,21,5 EUR,WSH,Anton Gustafsson,C,SWE,6′ 2,193,Frolunda Jr.,SWE-JR.
1,22,24 NA,EDM,Jordan Eberle,C,CAN,6′ 0,185,Regina,WHL
1,23,15 NA,MIN,Tyler Cuma,D,CAN,6′ 2,180,Ottawa,OHL
1,24,3 EUR,NJD,Mattias Tedenby,L,SWE,5′ 10,175,HV 71,SWEDEN
1,25,25 NA,CGY,Greg Nemisz,C,CAN,6′ 3,197,Windsor,OHL
1,26,17 NA,BUF,Tyler Ennis,C,CAN,5′ 9,157,Medicine Hat,WHL
1,27,19 NA,WSH,John Carlson,D,USA,6′ 3,208,Indiana,USHL
1,28,7 EUR,PHX,Viktor Tikhonov,F,LVA,6′ 2,190,Cherepovets,RUSSIA
1,29,89 NA,ATL,Daultan Leveille,C,CAN,6′ 0,172,St. Catharine’s,GHL
1,30,1 NA-G,DET,Tom McCollum,G,USA,6′ 2,205,Guelph,OHL
2,31,1 EUR-G,FLA,Jacob Markstrom,G,SWE,6′ 3,178,Brynas Jr.,SWE-JR.
2,32,8 EUR,LAK,Slava Voynov,D,RUS,5′ 11,193,Chelyabinsk,RUSSIA
2,33,38 NA,STL,Philip McRae,C,USA,6′ 2,200,London,OHL
2,34,8 NA-G,STL,Jake Allen,G,CAN,6′ 2,190,St. John’s,QMJHL
2,35,28 NA,ANA,Nicolas Deschamps,C,CAN,6′ 0,173,Chicoutimi,QMJHL
2,36,46 NA,NYI,Corey Trivino,C,CAN,6′ 1,170,Stouffville,OPJHL
2,37,48 NA,CBJ,Cody Goloubef,D,CAN,6′ 0,195,U. of Wisconsin,WCHA
2,38,6 EUR,NSH,Roman Josi,D,CHE,6′ 1,198,Bern,SWISS
2,39,NR,ANA,Eric O’Dell,C,CAN,6′ 0,195,Sudbury,OHL
2,40,35 NA,NYI,Aaron Ness,D,USA,5′ 10,170,Roseau High,HIGH-MN
2,41,21 NA,VAN,Yann Sauve,D,CAN,6′ 3,209,Saint John,QMJHL
2,42,119 NA,OTT,Patrick Wiercioch,D,CAN,6′ 4,192,Omaha,USHL
2,43,56 NA,ANA,Justin Schultz,D,CAN,6′ 1,163,Westside,BCHL
2,44,66 NA,BUF,Luke Adam,C,CAN,6′ 2,203,St. John’s,QMJHL
2,45,26 NA,CAR,Zac Dalpe,F,CAN,6′ 1,195,Penticton,BCHL
2,46,8 NA,FLA,Colby Robak,D,CAN,6′ 3,194,Brandon,WHL
2,47,36 NA,BOS,Max Sauve,C,FRA,6′ 0,170,Val d’Or,QMJHL
2,48,37 NA,CGY,Mitch Wahl,C,USA,6′ 0,175,Spokane,WHL
2,49,32 NA,PHX,Jared Staal,R,CAN,6′ 4,210,Sudbury,OHL
2,50,NR,COL,Cameron Gaunce,D,CAN,6′ 1,203,Mississauga,OHL
2,51,72 NA,NYR,Derek Stepan,C,USA,6′ 0,182,Shattuck-St. Mary’s,HIGH-MN
2,52,57 NA,NJD,Brandon Burlon,D,CAN,6′ 0,190,St. Michael’s,OPJHL
2,53,54 NA,NYI,Travis Hamonic,D,CAN,6′ 2,208,Moose Jaw,WHL
2,54,82 NA,NJD,Patrice Cormier,C,CAN,6′ 2,215,Rimouski,QMJHL
2,55,NR,MIN,Marco Scandella,D,CAN,6′ 2,190,Val d’Or,QMJHL
2,56,40 NA,MTL,Danny Kristo,R,USA,5′ 11,172,USA U-18,USDP
2,57,63 NA,WSH,Eric Mestery,D,CAN,6′ 5,195,Tri-City,WHL
2,58,10 EUR,WSH,Dmitri Kugryshev,R,RUS,5′ 11,183,CSKA 2,RUSSIA-3
2,59,16 NA-G,DAL,Tyler Beskorowany,G,CAN,6′ 4,208,Owen Sound,OHL
2,60,65 NA,TOR,Jimmy Hayes,R,USA,6′ 5,210,Lincoln,USHL
2,61,3 NA-G,COL,Peter Delmas,G,CAN,6′ 2,169,Lewiston,QMJHL
3,62,102 NA,SJS,Justin Daniels,C,USA,6′ 1,175,Kent School,HIGH-CT
3,63,116 NA,LAK,Robert Czarnik,F,USA,6′ 0,188,USA U-18,USDP
3,64,41 NA,ATL,Danick Paquette,R,CAN,6′ 1,210,Lewiston,QMJHL
3,65,23 EUR,STL,Jori Lehtera,C,FIN,6′ 2,191,Tappara,FINLAND
3,66,71 NA,NYI,David Toews,C,CAN,5′ 10,196,Shattuck-St. Mary’s,HIGH-MN
3,67,202 NA,PHI,Marc-Andre Bourdon,D,CAN,6′ 0,206,Rouyn-Noranda,QMJHL
3,68,49 NA,CHI,Shawn Lalonde,D,CAN,6′ 1,192,Belleville,OHL
3,69,51 NA,PHX,Michael Stone,D,CAN,6′ 3,200,Calgary,WHL
