Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
1,2,1,EDM,Taylor Hall,LW,6′ 0,180,Windsor,OHL
1,1,2,BOS,Tyler Seguin,RW,6′ 0,170,Plymouth,OHL
1,4,3,FLA,Erik Gudbranson,D,6′ 3,195,Kingston,OHL
1,10,4,CLB,Ryan Johansen,C,6′ 2,194,Portland,WHL
1,12,5,NYI,Nino Niederreiter,RW,6′ 0,172,Portland,WHL
1,3,6,TB,Brett Connolly,RW,6′ 1,153,Prince George,WHL
1,34,7,CAR,Jeff Skinner,RW,5′ 10,197,Kitchener,OHL
1,11,8,ATL,Alexander Burmistrov,C,6′ 0,170,Barrie,OHL
1,1 EUR,9,MIN,Mikael Granlund,C,5′ 9,160,HIFK,SM-liiga
1,17,10,NYR,Dylan Mcilrath,D,6′ 3,210,Moose Jaw,WHL
1,2 NA-G,11,DAL,Jack Campbell,G,6′ 1,185,US U18,NTDP
1,5,12,ANA,Cam Fowler,D,6′ 2,190,Windsor,OHL
1,6,13,ARI,Brandon Gormley,D,6′ 1,175,Moncton,QMJHL
1,28,14,STL,Jaden Schwartz,C,5′ 10,180,Tri-City,WHL
1,9,15,LAK,Derek Forbort,D,6′ 4.5,198,US U18,NTDP
1,2 EUR,16,STL,Vladimir Tarasenko,RW,6′ 0,185,Novosibirsk,KHL
1,55,17,COL,Joey Hishon,LW,5′ 10,164,Owen Sound,OHL
1,14,18,NSH,Austin Watson,RW,6′ 3,171,Peterborough,OHL
1,13,19,FLA,Nick Bjugstad,C,6′ 3,190,Blaine,HS-MN
1,32,20,PIT,Beau Bennett,RW,6′ 1,176,Penticton,BCHL
1,22,21,DET,Riley Sheahan,C,6′ 2,195,Seattle,WHL
1,38,22,MTL,Jarred Tinordi,D,6′ 4,190,US U18,NTDP
1,7,23,BUF,Mark Pysyk,D,6′ 0,170,Edmonton,WHL
1,26,24,CHI,Kevin Hayes,C,6′ 2,201,Noble/Greenough,HS-MA
1,19,25,FLA,Quinton Howden,LW,6′ 2,170,Moose Jaw,WHL
1,3 EUR,26,WSH,Evgeny Kuznetsov,C,5′ 11,170,Chelyabinsk,KHL
1,4 NA-G,27,ARI,Mark Visentin,G,6′ 1,185,Niagara,OHL
1,24,28,SJS,Charlie Coyle,C,6′ 1.5,202,South Shore,EJHL
1,8,29,ANA,Emerson Etem,LW,5′ 11,185,Medicine Hat,WHL
1,25,30,NYI,Brock Nelson,C,6′ 2.5,205,Warroad,HS-MN
2,18,31,EDM,Tyler Pitlick***,C,6′ 1,190,MSU-Mankato,NCAA
2,82,32,BOS,Jared Knight,RW,5′ 11,180,London,OHL
2,15,33,FLA,John McFarland,LW,6′ 0,192,Sudbury,OHL
2,73,34,CLB,Dalton Smith,LW,6′ 1,195,Ottawa 67’s,OHL
2,5 EUR,35,CHI,Ludvig Rensfeldt,LW,6′ 3,192,Brynäs,SHL
2,29,36,FLA,Alex Petrovic,D,6′ 4,180,Red Deer,WHL
2,56,37,CAR,Justin Faulk,D,5′ 11,185,US U18,NTDP
2,21,38,NJD,Jon Merrill,D,6′ 4,185,US U18,NTDP
2,65,39,MIN,Brett Bulmer,RW,6′ 2,175,Kelowna,WHL
2,69,40,NYR,Christian Thomas,RW,5′ 8.5,162,Oshawa,OHL
2,11 EUR,41,DAL,Patrik Nemeth,D,6′ 3,201,AIK,Allsvenskan
2,76,42,ANA,Devante Smith-Pelley,RW,5′ 11.5,211,Mississauga,OHL
2,59,43,TOR,Brad Ross,RW,6′ 1,167,Portland,WHL
2,27 EUR,44,STL,Sebastian Wannstrom,RW,6′ 1,180,Brynäs,SHL
2,39,45,BOS,Ryan Spooner,LW,5′ 9,160,Peterborough,OHL
2,10 EUR,46,EDM,Martin Marincin,D,6′ 4,187,Koice,Slovakia
2,16,47,LAK,Tyler Toffoli,LW,6′ 0,181,Ottawa 67’s,OHL
2,42,48,EDM,Curtis Hamilton,LW,6′ 3,202,Saskatoon,WHL
2,1 NA-G,49,COL,Calvin Pickard,G,6′ 1,208,Seattle,WHL
2,58,50,FLA,Connor Brickley,C,5′ 11.5,190,Des Moines,USHL
2,4 EUR,51,DET,Calle Jarnkrok,C,5′ 11,156,Brynäs,SHL
2,96,52,ARI,Philip Lane,RW,6′ 2,194,Brampton,OHL
2,37,53,CAR,Mark Alt,D,6′ 3,199,Cretin Derham,HS-MN
2,47,54,CHI,Justin Holl,D,6′ 2,170,Minnetonka,HS-MN
2,23,55,CLB,Petr Straka,RW,6′ 1,184,Rimouski,QMJHL
2,34 EUR,56,MIN,Johan Larsson,LW,5′ 10,200,Brynäs,SHL
2,7 EUR,57,ARI,Oscar Lindberg,LW,6′ 0,174,Skelleftea,SHL
2,3 NA-G,58,CHI,Kent Simpson,G,6′ 1,183,Everett,WHL
2,51,59,MIN,Jason Zucker,LW,5′ 10,163,US U18,NTDP
2,35,60,CHI,Stephen Johns,D,6′ 4,205,US U18,NTDP
3,27,61,EDM,Ryan Martindale,C,6′ 3,190,Ottawa 67’s,OHL
3,66,62,TOR,Greg McKegg,C,6′ 0,185,Erie,OHL
3,41,63,TB,Brock Beukeboom,D,6′ 1,197,Sault Ste Marie,OHL
3,79,64,CGY,Maxwell Reinhart,C,6′ 1,180,Kootenay,WHL
3,31,65,NYI,Kirill Kabanov,LW,6′ 3,176,Moncton,QMJHL
3,91,66,TB,Radko Gudas,D,5′ 11,192,Everett,WHL
3,46,67,CAR,Danny Biega***,D,6′ 0,200,Harvard,NCAA
3,50,68,BUF,Jerome Gauthier-Leduc,D,6′ 0.5,180,Rouyn-Noranda,QMJHL
3,54,69,FLA,Joe Basaraba,RW,6′ 2,190,Shattuck SM,HS-MN
3,30,70,LAK,Jordan Weal,C,5′ 8.5,156,Regina,WHL
3,75,71,COL,Michael Bournival,LW,5′ 11,184,Shawinigan,QMJHL
3,176,72,TB,Adam Janosik,D,5′ 10.5,170,Gatineau,QMJHL
3,120,73,CGY,Joey Leach,D,6′ 3,187,Kootenay,WHL
3,49,74,STL,Max Gardiner,C,6′ 2.5,176,Minnetonka,HS-MN
3,67,75,BUF,Kevin Sundher,C,6′ 0,192,Chilliwack,BCHL
3,52,76,OTT,Jakub Culek,LW,6′ 3,175,Rimouski,QMJHL
3,99,77,DAL,Alex Guptill,LW,6′ 2.5,,Brampton,OJHL
3,88,78,NSH,Taylor Aronson,D,6′ 0,196,Portland,WHL
3,86 EUR,79,TOR,Sondre Olden,RW,6′ 3,172,Modo,SHL
3,80,80,PIT,Bryan Rust,RW,5′ 11.5,191,US U18,NTDP
3,87,81,DET,Louis-Marc Aubry,C,6′ 3,190,Blainville-Boisbriand,QMJHL
3,81,82,NYI,Jason Clark,C,6′ 1.5,180,Shattuck-St.,HS-MN
3,74,83,BUF,Matt Mackenzie,D,6′ 1,185,Calgary Hitmen,WHL
3,19 NA-G,84,NJD,Scott Wedgewood,G,6′ 0.5,195,Plymouth,OHL
3,156,85,CAR,Austin Levi,D,6′ 3,192,Plymouth,OHL
3,20,86,WSH,Stanislav Galiev,RW,6′ 1,177,Saint John,QMJHL
3,45,87,ATL,Julian Melchiori,D,6′ 3,182,Newmarket,CCHL
3,104,88,SJS,Max Gaede,RW,6′ 2,187,Woodbury,HSHS-MN
3,78,89,PHI,Michael Chaput,C,6′ 1.5,194,Lewiston,QMJHL
3,37 EUR,90,CHI,Joakim Nordstrom,C,6′ 1,160,AIK,Allsvenskan
4,127,91,EDM,Jeremie Blain,D,6′ 2,190,Acadie-Bathurst,QMJHL
4,8 NA-G,92,FLA,Sam Brittain,G,6′ 3,215,Canmore,AJHL
4,NR,93,FLA,Benjamin Gallacher,D,5′ 11,183,Camrose,AJHL
4,64,94,CLB,Brandon Archibald,D,6′ 3,203,SSM,OHL
4,60,95,COL,Stephen Silas,D,6′ 0,180,Belleville,OHL
4,123,96,TB,Geoffrey Schemitsch,D,6′ 1,180,Owen Sound,OHL
4,108,97,BOS,Craig Cunningham,LW,5′ 10,180,VAN,WHL
4,43,98,BUF,Steve Shipley,LW,6′ 2,200,Owen Sound,OHL
4,14 EUR,99,FLA,Joonas Donskoi,LW,5′ 11,165,Karpat,SM-liiga
4,61,100,NYR,Andrew Yogan,LW,6′ 3,202,Erie,OHL
4,33,101,ATL,Ivan Telegin,RW,6′ 3,185,Saginaw,OHL
4,7 NA-G,102,CLB,Mathieu Corbeil-Theriault,G,6′ 6,186,Halifax,QMJHL
4,131,103,CGY,John Ramage,D,6′ 0,195,US U18,NTDP
4,55 EUR,104,STL,Jani Hakanpaa,D,6′ 4,211,Finland,SM-liiga
4,53,105,CAR,Justin Shugg,LW,5′ 11,184,Windsor,OHL
4,NR,106,OTT,Markus Sorenson,RW,5′ 11,156,Sodertalje,Allsvenskan
4,1 EUR-G,107,COL,Sami Aittokallio,G,6′ 1,174,Ilves,SM-liiga
4,36,108,CGY,Bill Arnold,RW,6′ 0,215,US U18,NTDP
4,77,109,DAL,Alex Theriau,D,6′ 1.5,189,Everett,WHL
4,8 EUR,110,PIT,Tom Kuehnackl,RW,6′ 2,172,Germany,DEL
4,17 EUR,111,DET,Teemu Pulkkinen,RW,5′ 11,170,Jokerit,SM-liiga
4,15 NA-G,112,WSH,Phillipp Grubauer,G,6′ 0,180,Belleville,OHL
4,135,113,MTL,Mark MacMillan,C,6′ 0,150,Alberni Valley,BCHL
4,118,114,NJD,Joe Faust,D,5′ 10.5,190,Bloomington,HS-MN
4,40,115,VAN,Patrick McNally,D,6′ 2,180,Milton,HS-MA
4,21 EUR,116,TOR,Petter Granberg,D,6′ 2.5,200,Skelleftea,SHL
4,97,117,MTL,Morgan Ellis,D,6′ 1,197,Cape Breton,QMJHL
4,165,118,TB,James Mullin,C,5′ 10,152,Shattuck-St.,HS-MN
4,NR,119,PHI,Tye McGinn,C,6′ 2,205,Gatineau,QMJHL
4,NR,120,CHI,Rob Flick,C,6′ 2,205,Mississauga,OHL
5,10 NA-G,121,EDM,Tyler Bunz,G,6′ 1,196,Medicine Hat,WHL
5,136,122,ANA,Chris Wagner,LW,6′ 2,182,Regina,WHL
5,175,123,FLA,Zach Hyman,C,6′ 0,182,Hamilton,CCHL
5,57,124,CLB,Austin Madaisky,D,6′ 2,186,Kamloops,WHL
5,NR,125,NYI,Tony Dehart,D,6′ 2,187,Oshawa,OHL
5,25 EUR,126,NSH,Patrick Cehlin,RW,5′ 11,176,Djurgardens,SHL
5,117,127,SJS,Cody Ferriero,C,5′ 11,190,Governor Dummer,HS-MA
5,2 EUR-G,128,ATL,Fredrik Pettersson-Wentzel,G,6′ 1,169,Almtuna,Allsvenskan
5,62,129,SJS,Freddie Hamilton,C,6′ 1,187,Niagara,OHL
5,NR,130,NYR,Jason Wilson,LW,6′ 2,205,Owen Sound,OHL
5,NR,131,DAL,John Klingberg,D,6′ 0,158,Frolunda,SHL
5,NR,132,ANA,Tim Heed,D,5′ 11,165,Sodertalje,Allsvenskan
5,146,133,CGY,Michael Ferland,LW,6′ 0,195,Brandon,WHL
5,181,134,STL,Cody Beach,RW,6′ 5,180,Calgary Hitmen,WHL
5,135,135,BOS,Justin Florek,LW,6′ 4,194,Northern Michigan,NCAA
5,133,136,SJS,Isaac Macleod,D,6′ 4,205,Penticton,BCHL
5,44,137,COL,Troy Rutkowski,D,6′ 1.5,208,Portland,WHL
5,5 NA-G,138,ARI,Louis Boileau-Domingue,G,6′ 1,178,Moncton,QMJHL
5,NR,139,COL,Luke Walker,RW,6′ 1,174,Portland,WHL
5,72,140,PIT,Kenneth Agostino,LW,5′ 11,190,Delbarton,HS-NJ
5,25 NA-G,141,DET,Petr Mrazek,G,6′ 0,185,Ottawa 67’s,OHL
5,109,142,WSH,Caleb Herbert,RW,5′ 10,165,Bloomington,HS-MN
5,101,143,BUF,Gregg Sutch,RW,6′ 2,193,Mississauga,OHL
5,90,144,TOR,Sam Carrick,C,6′ 0,188,Brampton,OHL
5,203,145,VAN,Adam Polasek,D,6′ 3,190,P.E.I.,QMJHL
5,95 EUR,146,TOR,Daniel Brodin,LW,6′ 1,172,Djurgardens,SHL
5,174,147,MTL,Brendan Gallagher,RW,5′ 8.5,163,VAN,WHL
5,70,148,LAK,Kevin Gravel,D,6′ 4,185,Sioux City,USHL
5,138,149,PHI,Michael Parks,RW,5′ 10.5,188,Cedar Rapids,USHL
5,107,150,ATL,Yasin Cisse,RW,6′ 2,206,Lachine,LHJAAAQ
6,23 EUR,151,CHI,Mirko Hoefflin,C,6′ 0,174,Mannheim,DEL
6,158,152,PIT,Joe Rogalski,D,6′ 1,195,Sarnia,OHL
6,163,153,FLA,Corey Durocher,LW,6′ 3,175,Kingston,OHL
6,NR,154,CLB,Dalton Prout,D,6′ 3,209,Barrie,OHL
6,71,155,ATL,Kendall McFaull,D,6′ 2,187,Moose Jaw,WHL
6,195,156,TB,Brendan O’Donnell,C,6′ 0,185,Winn. South Blues,MJHL
6,33 EUR,157,NYR,Jesper Fasth,RW,5′ 11,165,HV71,Superelit
6,6 EUR,158,LAK,Maxim Kitsyn,RW,6′ 2,182,Novokuznetsk,KHL
6,5 EUR-G,159,MIN,Johan Gustafsson,G,6′ 2,192,Farjestads,SHL
6,NR,160,ATL,Tanner Lane,C,6′ 2,172,Detroit Lakes,HS-MN
6,47 EUR,161,ANA,Andreas Dahlstrom,C,5′ 11,176,AIK,Allsvenskan
6,48,162,EDM,Brandon Davidson,D,6′ 1,190,Regina,WHL
6,164,163,SJS,Konrad Abeltshauser,D,6′ 3,189,Germany,DEL
6,85,164,STL,Stephen Macaulay,LW,6′ 1,175,Saint John,QMJHL
6,6 NA-G,165,BOS,Zane Gothberg,G,6′ 0.5,177,US U18,NTDP
6,NR,166,EDM,Drew Czerwonka,LW,6′ 2,189,Kootenay,WHL
6,116,167,CAR,Tyler Stahl,D,6′ 1,180,Chilliwack,BCHL
6,NR,168,NSH,Anthony Bitetto,D,6′ 1,210,Indiana,USHL
6,NR,169,ATL,Sebastian Owuya,D,6′ 3,194,Timra,SHL
6,151,170,PIT,Reid McNeill,D,6′ 3,191,London,OHL
6,86,171,DET,Brooks Macek,C,5′ 11,180,Tri-City,WHL
6,NR,172,VAN,Alex Friesen,C,5′ 9,186,Niagara,OHL
6,NR,173,BUF,Cedrick Henley,LW,6′ 5,195,Val-d’Or,QMJHL
6,18 NA-G,174,NJD,Maxime Clermont,G,6′ 0,201,Gatineau,QMJHL
6,6 EUR-G,175,VAN,Jonathan IiLathi,G,6′ 0,167,Jr Blues AAA,MWEHL
6,203,176,WSH,Samuel Carrier,D,6′ 0,181,Quebec,QMJHL
6,139,177,ANA,Kevin Lind,D,6′ 2.5,202,CHI,USHL
6,119,178,OTT,Mark Stone,RW,6′ 2,180,Brandon,WHL
6,175,179,PHI,Nicholas Luukko,D,6′ 2,180,Gunnery,HS-CT
6,134,180,CHI,Nick Mattson,D,6′ 0,176,Indiana,USHL
7,NR,181,EDM,Kristians Pelss,LW,5′ 11,179,Dynamo Minsk,KHL
7,93,182,TOR,Josh Nicholls,RW,6′ 1.5,174,Saskatoon,WHL
7,NR,183,FLA,Ronald Boyd,D,6′ 2,175,Cushing,HS-MA
7,13 NA-G,184,CLB,Martin Ouellette,G,6′ 1,160,Kimball Union,HS-NH
7,NR,185,NYI,Cody Rosen,G,5′ 11,180,Clarkson,NCAA
7,NR,186,TB,Teigan Zahn,D,6′ 1,218,Saskatoon,WHL
7,NR,187,CAR,Frederick Andersen,G,6′ 5,220,Frederikshavn,Denmark
7,NR,188,SJS,Lee Moffie,D,6′ 1,200,Michigan,NCAA
7,126,189,MIN,Dylen McKinlay,RW,5′ 11,162,Chilliwack,BCHL
7,NR,190,NYR,Randy McNaught,RW,6′ 4,222,Saskatoon,WHL
7,16 NA-G,191,CHI,MacMillan Carruth,G,6′ 2,169,Wenatchee,NAHL
7,NR,192,ANA,Brett Perlini,RW,6′ 2,200,Michigan State,NCAA
7,180,193,CGY,Patrick Holland,RW,6′ 0,167,Tri-City,WHL
7,52 EUR,194,NSH,David Elsner,LW,6′ 0,185,Germany,DEL
7,NR,195,BOS,Maxim Chudinov,D,5′ 11,187,Cherepovets,KHL
7,NR,196,OTT,Bryce Aneloski,D,6′ 2,197,Cedar Rapids,USHL
7,95,197,COL,Luke Moffatt,RW,5′ 11,185,US U18,NTDP
7,82 EUR,198,NSH,Joonas Rask,C,5′ 11,168,Ilves,SM-liiga
7,98,199,ATL,Peter Stoykewych,D,6′ 2,188,Winnipeg,MJHL
7,181,200,SJS,Christopher Crane,RW,6′ 0,189,Green Bay,USHL
7,201,201,DET,Benjamin Marshall,D,5′ 9,160,Mahtomedi,HS-MN
7,NR,202,EDM,Kellen Jones,RW,5′ 9,164,Vernon,BCHL
7,166,203,BUF,Christian Isackson,RW,6′ 0,174,St. Thomas,HS-MN
7,68 EUR,204,NJD,Mauro Jorg,RW,6′ 0,192,Lugano,NLA
7,NR,205,VAN,Sawyer Hannay,D,6′ 4,190,Halifax,QMJHL
7,53 EUR,206,PHI,Ricardo Blidstrand,D,6′ 3,196,Djurgardens,SHL
7,NR,207,MTL,John Westin,LW,6′ 0,183,Modo,SHL
7,NR,208,BUF,Riley Boychuk,LW,6′ 4,210,Portland,WHL
7,111,209,PHI,Brendan Ranford,LW,5′ 9,160,Kamloops,WHL
7,NR,210,BOS,Zach Trotman***,D,6′ 2,202,Wichita Falls,NAHL
