Column1,Column2,Column3,Column4,Column5,Column52,Column6,Column7,Column8,Column9,Column10,Column11
1,1 NA,1,EDM,Nail Yakupov,Nail Yakupov,RW,RUS,5′ 11,185,Sarnia,OHL
1,2 NA,2,CBJ,Ryan Murray,Ryan Murray,D,CAN,6′ 0,198,Everett,WHL
1,4 NA,3,MTL,Alex Galchenyuk,Alex Galchenyuk,C,USA,6′ 0,194,Sarnia,OHL
1,10 NA,4,NYI,Griffin Reinhart,Griffin Reinhart,D,CAN,6′ 3,206,Edmonton,WHL
1,5 NA,5,TOR,Morgan Rielly,Morgan Rielly,D,CAN,6′ 0,200,Moose Jaw,WHL
1,4 EUR,6,ANA,Hampus Lindholm,Hampus Lindholm,D,SWE,6′ 3,195,Rogle Jr.,SWEDEN
1,11 NA,7,MIN,Matt Dumba,Mathew Dumba,D,CAN,5′ 11,184,Red Deer,WHL
1,12 NA,8,PIT,Derrick Pouliot,Derrick Pouliot,D,CAN,5′ 11,192,Portland,WHL
1,9 NA,9,WPG,Jacob Trouba,Jacob Trouba,D,USA,6′ 2,187,USA U-18,USHL
1,23 NA,10,TBL,Slater Koekkoek,Slater Koekkoek,D,CAN,6′ 1,184,Peterborough,OHL
1,1 EUR,11,WSH,Filip Forsberg,Filip Forsberg,C,SWE,6′ 1,188,Leksand,SWEDEN
1,3 NA,12,BUF,Mikhail Grigorenko,Mikhail Grigorenko,C,RUS,6′ 3,200,Quebec,QMJHL
1,7 NA,13,DAL,Radek Faksa,Radek Faksa,C,CZE,6′ 2,200,Kitchener,OHL
1,18 NA,14,BUF,Zemgus Girgensons,Zemgus Girgensons,C,LVA,6′ 1,186,Dubuque,USHL
1,6 NA,15,OTT,Cody Ceci,Cody Ceci,D,CAN,6′ 1,205,Ottawa,OHL
1,15 NA,16,WSH,Tom Wilson,Tom Wilson,RW,CAN,6′ 3,205,Plymouth,OHL
1,5 EUR,17,SJS,Tomas Hertl,Tomas Hertl,C,CZE,6′ 2,198,Slavia,CZECH
1,2 EUR,18,CHI,Teuvo Teravainen,Teuvo Teravainen,LW,FIN,5′ 10,169,Jokerit,FINLAND
1,1 EUR-G,19,TBL,Andrei Vasilevskiy,Scott Laughton,G,RUS,6′ 3,210,Ufa 2,RUSSIA
1,28 NA,20,PHI,Scott Laughton,Mark Jankowski,C,CAN,6′ 0,177,Oshawa,OHL
