Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Chicago Blackhawks,Patrick Kane,US,RW,18,2023,London Knights ,OHL,1126,433,762,1195,35,412,5′ 10,178,USDP/NAHL,43,35,33,68,1.58,10,0,,,,,,,
2,Philadelphia Flyers,James van Riemsdyk,US,LW,18,2023,USA U-18 Development Team ,USDP/NAHL,885,290,277,567,-65,352,6′ 3,200,USDP/NAHL,32,9,8,17,0.53,42,0,,,,,,,
3,Phoenix Coyotes,Kyle Turris,CA,C,18,2022,Burnaby ,BCHL,776,168,257,425,-7,343,6′ 1,185,BCHL,57,36,36,72,1.26,32,0,53,66,55,121,2.28,83,-
4,Los Angeles Kings,Thomas Hickey,CA,D,18,2022,Seattle Thunderbirds ,WHL,456,22,95,117,37,190,5′ 11,184,WHL,69,1,27,28,0.41,53,2,,,,,,,
5,Washington Capitals,Karl Alzner,CA,D,18,2020,Calgary Hitmen ,WHL,686,20,110,130,54,219,6′ 3,206,WHL,70,4,20,24,0.34,28,14,,,,,,,
6,Edmonton Oilers,Sam Gagner,CA,C,18,2023,London Knights ,OHL,985,187,324,511,-134,431,5′ 11,191,USHL,56,11,35,46,0.82,60,3,,,,,,,
7,Columbus Blue Jackets,Jakub Voracek,CZ,RW,18,2023,Halifax Mooseheads ,QMJHL,1058,223,583,806,-36,525,6′ 2,214,Czech Jr.,46,21,38,59,1.28,54,17,,,,,,,
8,Boston Bruins,Zach Hamill,CA,C,18,2012,Everett Silvertips ,WHL,20,0,4,4,5,4,5′ 11,180,WHL,53,21,38,59,1.11,28,18,,,,,,,
9,San Jose Sharks,Logan Couture,CA,C,18,2023,Ottawa 67's ,OHL,867,307,345,652,23,241,6′ 1,195,OHL,65,25,39,64,0.98,52,-4,,,,,,,
10,Florida Panthers,Keaton Ellerby,CA,D,18,2015,Kamloops Blazers ,WHL,212,4,23,27,-13,88,6′ 4,186,WHL,68,2,6,8,0.12,121,3,,,,,,,
11,Carolina Hurricanes,Brandon Sutter,US,C/RW,18,2021,Red Deer Rebels ,WHL,770,152,137,289,-21,149,6′ 3,183,WHL,68,22,24,46,0.68,36,-7,,,,,,,
12,Montreal Canadiens,Ryan McDonagh,US,D,18,2023,Cretin-Derham Hall ,High-MN,803,71,272,343,218,310,6′ 1,213,High-MN,31,12,28,40,1.29,24,0,,,,,,,
13,St. Louis Blues,Lars Eller,DK,C,18,2023,Frolunda HC Jr. ,Sweden Jr.,891,156,199,355,-29,537,6′ 2,198,Sweden Jr.,36,7,7,14,0.39,6,7,,,,,,,
14,Colorado Avalanche,Kevin Shattenkirk,US,D,18,2023,USA U-18 Development Team ,USDP/NAHL,832,93,345,438,-5,490,5′ 11,193,USDP/NAHL,13,4,4,8,0.62,4,0,,,,,,,
15,Edmonton Oilers,Alex Plante,CA,D,18,2012,Calgary Hitmen ,WHL,10,0,2,2,-1,15,6′ 4,230,WHL,54,1,3,4,0.07,72,-2,,,,,,,
16,Minnesota Wild,Colton Gillies,CA,LW,18,2013,Saskatoon Blades ,WHL,154,6,12,18,-12,72,6′ 4,189,WHL,63,6,6,12,0.19,57,-3,,,,,,,
17,New York Rangers,Alexei Cherepanov,RU,RW,18,,Avangard Omsk ,Russia,,,,,,,6′ 1,187,Russia-3,5,2,0,2,0.4,2,0,,,,,,,
18,St. Louis Blues,Ian Cole,US,D,18,2023,USA U-18 Development Team ,USDP/NAHL,686,30,141,171,133,632,6′ 1,221,USDP/NAHL,19,2,1,3,0.16,14,0,,,,,,,
19,Anaheim Ducks,Logan MacMillan,CA,C,18,,Halifax Mooseheads ,QMJHL,,,,,,,6′ 1,172,QMJHL,62,9,9,18,0.29,31,2,,,,,,,
20,Pittsburgh Penguins,Angelo Esposito,CA,C,18,,Quebec Remparts ,QMJHL,,,,,,,6′ 2,190,QMJHL,57,39,59,98,1.72,45,42,,,,,,,
21,Edmonton Oilers,Riley Nash,CA,C,18,2022,Salmon Arm ,BCHL,627,63,113,176,-11,144,6′ 1,191,BCMML,31,29,31,60,1.94,100,0,55,38,46,84,1.53,87,-
22,Montreal Canadiens,Max Pacioretty,US,LW,18,2022,Sioux City Musketeers ,USHL,850,323,319,642,69,466,6′ 2,196,High-MA,26,7,26,33,1.27,0,0,,,,,,,
23,Nashville Predators,Jonathon Blum,US,D,18,2015,Vancouver Giants ,WHL,110,7,17,24,-11,22,6′ 1,178,WHL,61,7,17,24,0.39,25,16,,,,,,,
24,Calgary Flames,Mikael Backlund,SE,C,18,2023,VIK Vasteras HK ,Sweden-2,845,171,274,445,45,405,6′ 0,196,Sweden Jr.,25,15,16,31,1.24,30,7,,,,,,,
25,Vancouver Canucks,Patrick White,US,C,18,,Tri-City Storm ,USHL,,,,,,,6′ 1,190,High-MN,28,24,28,52,1.86,0,0,,,,,,,
26,St. Louis Blues,David Perron,CA,LW,19,2023,Lewiston MAINEiacs ,QMJHL,992,275,406,681,27,724,6′ 0,200,QJAAAHL,52,24,45,69,1.33,92,0,,,,,,,
27,Detroit Red Wings,Brendan Smith,CA,D,18,2023,St. Michael's ,OPJHL,591,33,86,119,-8,653,6′ 1,170,OPJHL,39,5,21,26,0.67,55,0,,,,,,,
