,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,New York Islanders,John Tavares,CA,C,18,2023,London Knights ,OHL,972,403,515,918,-26,425,6′ 0,183,OHL,59,40,78,118,2.00,69,22,56,58,46,104,1.86,54,10
2,Tampa Bay Lightning,Victor Hedman,SE,D,18,2023,MODO Hockey ,Sweden,916,135,478,613,148,632,6′ 7,229,Sweden,39,2,2,4,0.10,44,1,43,7,14,21,0.49,52,21
3,Colorado Avalanche,Matt Duchene,CA,C,18,2023,Brampton Battalion ,OHL,925,299,404,703,-102,256,5′ 11,190,OHL,64,30,20,50,0.78,22,2,57,31,48,79,1.39,42,32
4,Atlanta Thrashers,Evander Kane,CA,LW,18,2023,Vancouver Giants ,WHL,826,291,267,558,-38,1064,5′ 11,168,WHL,65,24,17,41,0.63,66,20,61,48,48,96,1.57,89,51
5,Los Angeles Kings,Brayden Schenn,CA,C,18,2023,Brandon Wheat Kings ,WHL,797,225,316,541,-1,442,6′ 1,195,WHL,66,28,43,71,1.08,48,22,70,32,56,88,1.26,82,20
6,Phoenix Coyotes,Oliver Ekman-Larsson,SE,D,18,2023,Leksands IF ,Sweden-2,870,134,292,426,-105,542,6′ 0,182,Division-1,27,3,5,8,0.30,10,6,39,3,14,17,0.44,32,44
7,Toronto Maple Leafs,Nazem Kadri,CA,C,18,2023,London Knights ,OHL,760,227,300,527,-20,597,6′ 0,182,OHL,68,25,40,65,0.96,57,9,56,25,53,78,1.39,31,13
8,Dallas Stars,Scott Glennie,CA,RW,18,2012,Brandon Wheat Kings ,WHL,1,0,0,0,0,2,6′ 2,182,WHL,61,26,32,58,0.95,50,10,55,28,42,70,1.27,25,22
9,Ottawa Senators,Jared Cowen,CA,D,18,2016,Spokane Chiefs ,WHL,249,15,31,46,-7,174,6′ 5,205,WHL,68,4,14,18,0.26,62,27,48,7,14,21,0.44,45,15
10,Edmonton Oilers,Magnus Paajarvi,SE,LW,18,2019,Timra IK ,Sweden,467,62,62,124,-54,78,5′ 11,180,Sweden Jr.,18,7,15,22,1.22,6,0,50,7,10,17,0.34,4,6
11,Nashville Predators,Ryan Ellis,CA,D,18,2022,Windsor Spitfires ,OHL,566,76,199,275,116,189,5′ 11,180,OHL,63,15,48,63,1.00,51,30,57,22,67,89,1.56,57,52
12,New York Islanders,Calvin de Haan,CA,D,18,2023,Oshawa Generals ,OHL,535,20,101,121,-2,199,6′ 0,173,CCHL,58,3,39,42,0.72,14,0,68,8,55,63,0.93,40,3
13,Buffalo Sabres,Zack Kassian,CA,RW,18,2023,Peterborough Petes ,OHL,621,91,111,202,-41,878,6′ 3,205,OHL,58,9,12,21,0.36,74,1,61,24,39,63,1.03,136,14
14,Florida Panthers,Dmitry Kulikov,RU,D,18,2023,Drummondville Voltigeurs ,QMJHL,827,44,161,205,-42,504,6′ 1,195,Russia-3,32,6,13,19,0.59,54,0,57,12,50,62,1.09,46,6
15,Anaheim Ducks,Peter Holland,CA,C,18,2018,Guelph Storm ,OHL,266,36,49,85,-38,112,6′ 1,178,OHL,62,8,15,23,0.37,31,8,68,28,39,67,0.99,42,10
16,Minnesota Wild,Nick Leddy,US,D,18,2023,Eden Priarie HS ,High-MN,872,68,297,365,-66,175,5′ 11,179,USHS-MN,27,6,22,28,1.04,14,0,25,8,29,37,1.48,22,0
17,St. Louis Blues,David Rundblad,SE,D,18,2016,Skelleftea AIK ,Sweden,113,4,21,25,-6,30,6′ 2,183,Sweden Jr.,35,11,15,26,0.74,44,0,45,0,10,10,0.22,8,3
18,Montreal Canadiens,Louis Leblanc,CA,C,18,2014,Omaha Lancers ,USHL,50,5,5,10,4,32,6′ 1,176,QMAAA,43,54,37,91,2.12,152,0,60,28,31,59,0.98,78,7
