,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Edmonton Oilers,Nail Yakupov,RU,RW,18,2018,Sarnia Sting ,OHL,350,62,74,136,-89,142,5′ 11,185,OHL,65,49,52,101,1.55,71,2,42,31,38,69,1.64,30,15
2,Columbus Blue Jackets,Ryan Murray,CA,D,18,2023,Everett Silvertips ,WHL,445,15,116,131,9,118,6′ 0,198,WHL,70,6,40,46,0.66,45,18,46,9,22,31,0.67,31,0
3,Montreal Canadiens,Alex Galchenyuk,US,C,18,2022,Sarnia Sting ,OHL,643,146,208,354,-77,253,6′ 0,194,OHL,68,31,52,83,1.22,52,8,2,0,0,0,0.00,0,4
4,New York Islanders,Griffin Reinhart,CA,D,18,2016,Edmonton Oil Kings ,WHL,37,0,2,2,-5,26,6′ 3,206,WHL,45,6,19,25,0.56,36,7,58,12,24,36,0.62,38,23
5,Toronto Maple Leafs,Morgan Rielly,CA,D,18,2023,Moose Jaw Warriors ,WHL,674,69,320,389,-14,188,6′ 0,200,WHL,65,6,22,28,0.43,21,15,18,3,15,18,1.00,2,6
6,Anaheim Ducks,Hampus Lindholm,SE,D,18,2023,Rogle BK Jr. ,Sweden Jr.,611,61,183,244,103,336,6′ 3,195,Sweden Jr.,39,0,4,4,0.10,34,4,28,5,12,17,0.61,16,25
7,Minnesota Wild,Mathew Dumba,CA,D,18,2023,Red Deer Rebels ,WHL,538,77,151,228,34,341,5′ 11,184,WHL,62,15,11,26,0.42,83,24,69,20,37,57,0.83,67,6
8,Pittsburgh Penguins,Derrick Pouliot,CA,D,18,2022,Portland Winterhawks ,WHL,213,8,44,52,-29,85,5′ 11,192,WHL,66,5,25,30,0.45,38,13,72,11,48,59,0.82,79,14
9,Winnipeg Jets,Jacob Trouba,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,618,62,200,262,48,478,6′ 2,187,USDP/NAHL,27,5,14,19,0.70,28,0,32,5,9,14,0.44,36,0
10,Tampa Bay Lightning,Slater Koekkoek,CA,D,18,2022,Peterborough Petes ,OHL,186,8,26,34,1,104,6′ 1,184,OHL,65,7,16,23,0.35,67,29,26,5,13,18,0.69,17,7
11,Washington Capitals,Filip Forsberg,SE,C,18,2023,Leksands IF ,Sweden-2,586,227,261,488,22,240,6′ 1,188,Sweden Jr.,36,21,19,40,1.11,22,30,43,8,9,17,0.40,33,3
12,Buffalo Sabres,Mikhail Grigorenko,RU,C,18,2021,Quebec Remparts ,QMJHL,249,26,50,76,-28,36,6′ 3,200,Russia-3,43,17,18,35,0.81,22,9,59,40,45,85,1.44,12,35
13,Dallas Stars,Radek Faksa,CZ,C,18,2023,Kitchener Rangers ,OHL,503,74,92,166,-14,305,6′ 2,200,Czech U20,24,9,6,15,0.63,12,19,62,29,37,66,1.06,47,19
14,Buffalo Sabres,Zemgus Girgensons,LV,C,18,2023,Dubuque Fighting Saints ,USHL,564,74,87,161,-61,163,6′ 1,186,USHL,51,21,28,49,0.96,46,7,49,24,31,55,1.12,69,17
15,Ottawa Senators,Cody Ceci,CA,D,18,2023,Ottawa 67's ,OHL,647,43,132,175,-20,134,6′ 1,205,OHL,68,9,25,34,0.50,28,11,64,17,43,60,0.94,14,21
16,Washington Capitals,Tom Wilson,CA,RW,18,2022,Plymouth Whalers ,OHL,647,115,158,273,44,1221,6′ 3,205,OHL,28,3,3,6,0.21,71,0,49,9,18,27,0.55,141,17
17,San Jose Sharks,Tomas Hertl,CZ,C,18,2023,HC Slavia Praha ,Czech,607,186,221,407,-7,198,6′ 2,198,Czech U20,33,14,27,41,1.24,49,21,38,12,13,25,0.66,22,9
18,Chicago Blackhawks,Teuvo Teravainen,FI,LW,18,2023,Jokerit ,Finland,540,118,258,376,84,102,5′ 10,169,Finland Jr.,26,3,17,20,0.77,8,6,40,11,7,18,0.45,6,5
20,Philadelphia Flyers,Scott Laughton,CA,C,18,2023,Oshawa Generals ,OHL,459,67,96,163,-17,256,6′ 0,177,OHL,63,12,11,23,0.37,58,5,64,21,32,53,0.83,101,8
21,Calgary Flames,Mark Jankowski,CA,C,18,2023,Stanstead ,High-QC,280,44,39,83,-5,71,6′ 2,168,CAHS,50,24,37,61,1.22,10,0,41,31,26,57,1.39,22,0
22,Pittsburgh Penguins,Olli Maatta,FI,D,18,2023,London Knights ,OHL,553,32,111,143,76,136,6′ 1,204,Finland Jr.,19,2,6,8,0.42,8,3,58,5,27,32,0.55,25,25
23,Florida Panthers,Michael Matheson,CA,D,18,2023,Dubuque Fighting Saints ,USHL,420,50,89,139,-11,222,6′ 1,178,QMAAA,35,14,24,38,1.09,72,0,53,11,16,27,0.51,84,0
25,St. Louis Blues,Jordan Schmaltz,US,D,18,2019,Green Bay Gamblers ,USHL,42,0,5,5,-7,12,6′ 2,180,USHL,53,13,31,44,0.83,22,0,55,10,31,41,0.75,29,11
26,Vancouver Canucks,Brendan Gaunce,CA,C,18,2023,Belleville Bulls ,OHL,153,11,13,24,-6,61,6′ 1,207,OHL,65,11,25,36,0.55,40,31,68,28,40,68,1.00,68,4
27,Phoenix Coyotes,Henrik Samuelsson,US,C/RW,18,2015,Edmonton Oil Kings ,WHL,3,0,0,0,-2,2,6′ 2,216,USDP/NAHL,54,15,20,35,0.65,112,0,28,7,16,23,0.82,42,18
28,New York Rangers,Brady Skjei,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,468,39,130,169,6,258,6′ 2,196,USDP/NAHL,55,5,14,19,0.35,24,0,60,4,19,23,0.38,36,0
29,New Jersey Devils,Stefan Matteau,US,LW,18,2022,USA U-18 Development Team ,USDP/USHL,92,6,5,11,-18,41,6′ 1,215,USDP/NAHL,47,7,11,18,0.38,67,0,46,15,17,32,0.70,166,0
30,Los Angeles Kings,Tanner Pearson,CA,LW,20,2023,Barrie Colts ,OHL,590,133,139,272,9,209,6′ 0,193,OHL,66,15,27,42,0.64,35,12,60,37,54,91,1.52,37,21
32,Edmonton Oilers,Mitchell Moroz,CA,LW,18,,Edmonton Oil Kings ,WHL,,,,,,,6′ 1,208,AMHL,22,10,4,14,0.64,34,0,66,16,9,25,0.38,131,5
33,Montreal Canadiens,Sebastian Collberg,SE,RW,18,,Frolunda HC ,Sweden,,,,,,,5′ 11,180,Sweden Jr.,35,21,23,44,1.26,12,0,41,0,0,0,0.00,2,8
34,New York Islanders,Ville Pokka,FI,D,18,,Karpat ,Finland,,,,,,,5′ 11,205,Finland Jr.,32,6,15,21,0.66,16,4,35,0,3,3,0.09,12,3
35,Toronto Maple Leafs,Matt Finn,CA,D,18,,Guelph Storm ,OHL,,,,,,,6′ 0,199,OHL,60,3,18,21,0.35,23,0,61,10,38,48,0.79,58,13
36,Anaheim Ducks,Nicolas Kerdiles,US,LW,18,2018,USA U-18 Development Team ,USDP/USHL,3,0,0,0,1,0,6′ 1,191,USDP/NAHL,60,20,17,37,0.62,66,0,54,22,26,48,0.89,38,0
37,Nashville Predators,Pontus Aberg,SE,LW,18,2020,Djurgardens IF ,Sweden,132,17,27,44,-7,34,5′ 11,189,Sweden Jr.,41,13,17,30,0.73,16,0,47,8,7,15,0.32,6,3
38,Carolina Hurricanes,Phillip Di Giuseppe,CA,LW,18,2021,Michigan ,CCHA,201,16,37,53,-12,73,5′ 11,197,OPJHL,49,24,39,63,1.29,25,0,40,11,15,26,0.65,18,23
39,Winnipeg Jets,Lukas Sutter,US,C,18,,Saskatoon Blades ,WHL,,,,,,,6′ 0,215,WHL,71,4,15,19,0.27,179,1,70,28,31,59,0.84,165,15
40,Tampa Bay Lightning,Dylan Blujus,US,D,18,,Brampton Battalion ,OHL,,,,,,,6′ 2,191,OHL,67,4,22,26,0.39,26,14,66,7,27,34,0.52,38,4
41,Colorado Avalanche,Mitchell Heard,CA,C,20,,Plymouth Whalers ,OHL,,,,,,,6′ 0,188,OHL,66,19,29,48,0.73,67,4,57,29,28,57,1.00,111,6
42,Calgary Flames,Patrick Sieloff,US,D,18,2018,USA U-18 Development Team ,USDP/USHL,2,2,0,2,-1,2,6′ 0,192,USDP/NAHL,53,3,6,9,0.17,76,0,60,3,7,10,0.17,113,0
43,Dallas Stars,Ludwig Bystrom,SE,D,18,,MODO Hockey Jr. ,Sweden Jr.,,,,,,,6′ 0,169,Sweden Jr.,37,1,10,11,0.30,28,0,34,7,22,29,0.85,101,2
44,Buffalo Sabres,Jake McCabe,US,D,18,2023,Wisconsin ,WCHA,444,23,81,104,-53,244,6′ 0,203,USDP/NAHL,46,4,12,16,0.35,14,0,26,3,9,12,0.46,12,3
46,Minnesota Wild,Raphael Bussieres,CA,LW,18,,Baie-Comeau Drakkar ,QMJHL,,,,,,,6′ 1,195,QMJHL,66,17,22,39,0.59,39,31,56,21,23,44,0.79,60,2
47,Carolina Hurricanes,Brock McGinn,CA,LW,18,2023,Guelph Storm ,OHL,429,69,68,137,-25,97,5′ 11,174,OHL,68,10,4,14,0.21,38,3,33,12,7,19,0.58,25,2
