,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,NHL Goalie Stats,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Colorado Avalanche,Nathan MacKinnon,CA,C,18,2023,Halifax Mooseheads ,QMJHL,656,247,428,675,92,292,6’0,182,QMJHL,58,31,47,78,1.34,45,11,44,32,43,75,1.7,45,40
2,Florida Panthers,Aleksander Barkov,FI,C,18,2023,Tappara ,Finland,615,225,346,571,83,116,6’3,209,Finland,32,7,9,16,0.5,4,5,53,21,27,48,0.91,8,18
3,Tampa Bay Lightning,Jonathan Drouin,CA,LW,18,2023,Halifax Mooseheads ,QMJHL,439,75,181,256,-72,167,5’10,186,QMJHL,33,7,22,29,0.88,12,5,49,41,64,105,2.14,32,48
4,Nashville Predators,Seth Jones,US,D,18,2023,Portland Winterhawks ,WHL,667,71,271,342,-68,228,6’3,205,USDP/NAHL,52,8,23,31,0.6,18,0,61,14,42,56,0.92,33,46
5,Carolina Hurricanes,Elias Lindholm,SE,C,18,2023,Brynas IF ,Sweden,682,187,278,465,20,166,6’0,192,Sweden Jr.,36,14,35,49,1.36,45,24,48,11,19,30,0.63,2,1
6,Calgary Flames,Sean Monahan,CA,C,18,2023,Ottawa 67's ,OHL,676,217,257,474,-52,169,6’2,187,OHL,62,33,45,78,1.26,38,25,58,31,47,78,1.34,24,18
7,Edmonton Oilers,Darnell Nurse,CA,D,18,2023,Soo Greyhounds ,OHL,497,57,146,203,41,426,6’3,185,OHL,53,1,9,10,0.19,61,15,68,12,29,41,0.6,116,15
8,Buffalo Sabres,Rasmus Ristolainen,FI,D,18,2023,TPS ,Finland,621,48,213,261,-173,335,6’4,207,Finland,40,3,5,8,0.2,78,21,52,3,12,15,0.29,32,7
9,Vancouver Canucks,Bo Horvat,CA,C,18,2023,London Knights ,OHL,592,186,202,388,-69,194,6’0,206,OHL,64,11,19,30,0.47,8,27,67,33,28,61,0.91,29,3
10,Dallas Stars,Valeri Nichushkin,RU,RW,18,2023,Traktor Chelyabinsk ,Russia,412,78,108,186,70,54,6’4,202,Russia-3,38,4,6,10,0.26,6,10,18,4,2,6,0.33,0,6
