,Round 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-,NHLe
1,Tampa Bay Lightning,Steven Stamkos,CA,C,18,2023,Sarnia Sting ,OHL,942,491,502,993,77,565,6′ 1,188,OHL,63,42,50,92,1.46,56,13,61,58,47,105,1.72,88,18,9.02656
2,Los Angeles Kings,Drew Doughty,CA,D,18,2023,Guelph Storm ,OHL,1038,133,445,578,31,707,6′ 0,212,OHL,67,21,53,74,1.1,76,7,58,13,37,50,0.86,68,1,4.51328
3,Atlanta Thrashers,Zach Bogosian,US,D,18,2023,Peterborough Petes ,OHL,740,56,152,208,-78,675,6′ 3,215,OHL,67,7,26,33,0.49,63,6,60,11,50,61,1.02,72,8,5.35296
4,St. Louis Blues,Alex Pietrangelo,CA,D,18,2023,Niagara IceDogs ,OHL,902,132,406,538,109,303,6′ 3,206,OHL,59,7,45,52,0.88,45,40,60,13,40,53,0.88,94,29,4.61824
5,Toronto Maple Leafs,Luke Schenn,CA,D,18,2023,Kelowna Rockets ,WHL,885,40,137,177,-38,717,6′ 2,229,WHL,72,2,27,29,0.4,139,10,57,7,21,28,0.49,100,5,2.57152
6,Columbus Blue Jackets,Nikita Filatov,RU,LW,18,2012,CSKA Moskva 2 ,Russia-3,53,6,8,14,7,20,6′ 0,190,Russia-3,29,13,9,22,0.76,32,0,23,24,23,47,2.04,62,0,10.70592
7,Nashville Predators,Colin Wilson,US,C,18,2020,Boston University ,H-East,632,113,173,286,32,138,6′ 1,214,USDP/NAHL,41,19,31,50,1.22,32,0,44,25,25,50,1.14,12,18,5.98272
8,Phoenix Coyotes,Mikkel Boedker,DK,RW,18,2020,Kitchener Rangers ,OHL,709,118,209,327,-71,116,5′ 11,202,Sweden Jr.,39,19,30,49,1.26,14,25,62,29,44,73,1.18,14,6,6.19264
9,New York Islanders,Josh Bailey,CA,C,18,2023,Windsor Spitfires ,OHL,1013,180,381,561,-48,241,6′ 1,201,OHL,69,22,39,61,0.88,24,25,67,29,67,96,1.43,32,30,7.50464
10,Vancouver Canucks,Cody Hodgson,CA,C,18,2016,Brampton Battalion ,OHL,328,64,78,142,-54,68,6′ 0,185,OHL,63,23,23,46,0.73,24,21,68,40,45,85,1.25,36,15,6.56
11,Chicago Blackhawks,Kyle Beach,CA,C,18,,Everett Silvertips ,WHL,,,,,,,6′ 3,202,WHL,65,29,32,61,0.94,196,27,60,27,33,60,1,222,4,5.248
12,Buffalo Sabres,Tyler Myers,US,D,18,2023,Kelowna Rockets ,WHL,859,87,242,329,10,673,6′ 8,227,WHL,59,2,13,15,0.25,78,21,65,6,13,19,0.29,97,16,1.52192
13,Los Angeles Kings,Colten Teubert,CA,D,18,2012,Regina Pats ,WHL,24,0,1,1,-5,25,6′ 4,195,WHL,63,3,8,11,0.17,91,2,66,7,16,23,0.35,135,8,1.8368
14,Carolina Hurricanes,Zach Boychuk,CA,C,18,2015,Lethbridge Hurricanes ,WHL,127,12,18,30,-3,16,5′ 10,185,WHL,69,31,60,91,1.32,52,19,61,33,39,72,1.18,80,26,6.19264
15,Ottawa Senators,Erik Karlsson,SE,D,18,2023,Frolunda HC Jr. ,Sweden Jr.,862,164,526,690,-77,394,6′ 0,175,Sweden Jr.,10,2,8,10,1,8,8,38,13,24,37,0.97,68,11,5.09056
16,Boston Bruins,Joe Colborne,CA,C,18,2017,Camrose ,AJHL,295,42,72,114,-38,144,6′ 5,190,AJHL,53,20,28,48,0.91,44,0,55,33,57,90,1.64,48,0,8.61
17,Anaheim Ducks,Jake Gardiner,US,D,18,2021,Minnetonka HS ,High-MN,645,49,228,277,-16,226,6′ 1,173,USHS-MN,19,10,22,32,1.68,20,0,24,20,28,48,2,14,0,10.496
19,Philadelphia Flyers,Luca Sbisa,IT,D,18,2021,Lethbridge Hurricanes ,WHL,549,20,93,113,-18,385,6′ 2,204,U20-Elit,29,5,14,19,0.66,28,0,62,6,27,33,0.53,63,19,2.78144
20,New York Rangers,Michael Del Zotto,CA,D,18,2022,Oshawa Generals ,OHL,736,63,199,262,-30,284,6′ 0,193,OHL,64,10,47,57,0.89,78,1,64,16,47,63,0.98,82,7,5.14304
21,Washington Capitals,Anton Gustafsson,SE,C,18,,Frolunda HC Jr. ,Sweden Jr.,,,,,,,6′ 2,193,Sweden Jr.,26,5,3,8,0.31,24,0,33,15,17,32,0.97,55,0,5.09056
22,Edmonton Oilers,Jordan Eberle,CA,C,18,2023,Regina Pats ,WHL,879,267,343,610,-68,208,6′ 0,185,WHL,66,28,27,55,0.83,32,13,70,42,33,75,1.07,20,5,5.61536
