,Round 1,,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Edmonton Oilers,Taylor Hall,CA,LW,18,2023,Windsor Spitfires ,OHL,781,254,416,670,-34,430,6′ 0,180,OHL,63,38,52,90,1.43,60,29,57,40,66,106,1.86,56,46
2,Boston Bruins,Tyler Seguin,CA,C,18,2023,Plymouth Whalers ,OHL,845,309,393,702,66,265,6′ 0,170,OHL,61,21,46,67,1.10,28,14,63,48,58,106,1.68,54,17
3,Florida Panthers,Erik Gudbranson,CA,D,18,2023,Kingston Frontenacs ,OHL,659,27,72,99,-90,723,6′ 3,195,OHL,63,3,19,22,0.35,69,16,41,2,21,23,0.56,68,11
4,Columbus Blue Jackets,Ryan Johansen,CA,C,18,2023,Portland Winterhawks ,WHL,807,182,356,538,0,496,6′ 2,194,BCHL,47,5,12,17,0.36,21,0,71,25,44,69,0.97,53,17
5,New York Islanders,Nino Niederreiter,CH,RW,18,2023,Portland Winterhawks ,WHL,752,190,189,379,57,358,6′ 0,172,U20-Elit,30,20,14,34,1.13,44,0,65,36,24,60,0.92,68,11
6,Tampa Bay Lightning,Brett Connolly,CA,RW,18,2022,Prince George Cougars ,WHL,536,101,94,195,9,241,6′ 1,153,WHL,65,30,30,60,0.92,38,26,16,10,9,19,1.19,8,3
7,Carolina Hurricanes,Jeff Skinner,CA,C,18,2023,Kitchener Rangers ,OHL,873,307,256,563,-139,386,5′ 10,197,OHL,63,27,24,51,0.81,34,5,64,50,40,90,1.41,72,7
8,Atlanta Thrashers,Alexander Burmistrov,RU,C,18,2018,Barrie Colts ,OHL,348,37,64,101,-31,139,6′ 0,170,Russia-3,41,28,30,58,1.41,68,0,62,22,43,65,1.05,49,32
9,Minnesota Wild,Mikael Granlund,FI,C,18,2023,HIFK ,Finland,691,137,321,458,1,201,5′ 9,160,Finland Jr.,35,21,36,57,1.63,45,7,43,13,27,40,0.93,2,11
10,New York Rangers,Dylan McIlrath,CA,D,18,2020,Moose Jaw Warriors ,WHL,66,3,2,5,2,121,6′ 3,210,WHL,53,1,3,4,0.08,102,22,65,7,17,24,0.37,169,20
12,Anaheim Ducks,Cam Fowler,CA,D,18,2023,Windsor Spitfires ,OHL,831,83,292,375,-70,221,6′ 2,190,USDP/NAHL,47,8,32,40,0.85,44,0,55,8,47,55,1,14,38
13,Phoenix Coyotes,Brandon Gormley,CA,D,18,2016,Moncton Wildcats ,QMJHL,58,2,3,5,-6,20,6′ 1,175,QMJHL,62,7,20,27,0.44,34,9,58,9,34,43,0.74,54,31
14,St. Louis Blues,Jaden Schwartz,CA,C,18,2023,Tri-City Storm ,USHL,616,169,252,421,53,171,5′ 10,180,SJHL,46,34,42,76,1.65,15,0,60,33,50,83,1.38,18,6
15,Los Angeles Kings,Derek Forbort,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,417,13,69,82,13,265,6′ 4.5,198,USHS-MN,22,4,14,18,0.82,28,0,65,5,23,28,0.43,46,0
16,St. Louis Blues,Vladimir Tarasenko,RU,RW,18,2023,Sibir Novosibirks ,Russia,623,256,281,537,70,183,6′ 0,185,Russia,38,7,3,10,0.26,2,2,42,13,11,24,0.57,18,9
17,Colorado Avalanche,Joey Hishon,CA,C,18,2015,Owen Sound Attack ,OHL,13,1,1,2,-1,0,5′ 10,164,OHL,65,37,44,81,1.25,34,5,36,16,24,40,1.11,26,10
18,Nashville Predators,Austin Watson,US,LW,18,2023,Peterborough Petes ,OHL,426,50,56,106,-1,511,6′ 3,171,OHL,63,10,19,29,0.46,41,15,52,20,34,54,1.04,22,16
19,Florida Panthers,Nick Bjugstad,US,C,18,2023,Blaine HS ,High-MN,558,114,131,245,-33,239,6′ 3,190,USHS-MN,25,26,25,51,2.04,20,0,25,29,31,60,2.4,24,0
20,Pittsburgh Penguins,Beau Bennett,US,RW,18,2018,Pentiction ,BCHL,200,24,40,64,-2,52,6′ 1,176,T1EHL-18U,46,25,33,58,1.26,10,0,56,41,79,120,2.14,20,0
21,Detroit Red Wings,Riley Sheahan,CA,C,18,2023,Notre Dame ,CCHA,637,74,120,194,-54,97,6′ 2,195,GOJHL,40,27,46,73,1.83,55,0,37,6,11,17,0.46,22,10
22,Montreal Canadiens,Jarred Tinordi,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,128,4,14,18,-21,145,6′ 4,190,USDP/NAHL,42,2,13,15,0.36,53,19,39,2,6,8,0.21,37,0
23,Buffalo Sabres,Mark Pysyk,CA,D,18,2022,Edmonton Oil Kings ,WHL,521,28,76,104,-18,162,6′ 0,170,WHL,61,5,15,20,0.33,27,5,48,7,17,24,0.5,47,19
24,Chicago Blackhawks,Kevin Hayes,US,RW,18,2023,Noble & Greenough School ,High-MA,573,142,209,351,-10,193,6′ 2,201,USHS-Prep,23,28,27,55,2.39,15,0,29,25,44,69,2.38,8,0
25,Florida Panthers,Quinton Howden,CA,C,18,2017,Moose Jaw Warriors ,WHL,97,10,7,17,-11,30,6′ 2,170,WHL,62,13,17,30,0.48,22,37,65,28,37,65,1,44,14
26,Washington Capitals,Evgeny Kuznetsov,RU,C,18,2023,Traktor Chelyabinsk ,Russia,619,155,356,511,72,324,5′ 11,170,Russia-3,21,5,10,15,0.71,38,0,35,2,6,8,0.23,10,6
28,San Jose Sharks,Charlie Coyle,US,C/RW,18,2023,South Shore ,EJHL,723,137,217,354,37,273,6′ 1.5,202,USHS-Prep,26,20,28,48,1.85,4,0,42,21,42,63,1.5,50,0
29,Anaheim Ducks,Emerson Etem,US,RW,18,2017,Medicine Hat Tigers ,WHL,173,22,24,46,-7,30,5′ 11,185,USDP/NAHL,40,19,14,33,0.83,16,23,72,37,28,65,0.9,26,8
30,New York Islanders,Brock Nelson,US,C,18,2023,Warroad HS ,High-MN,697,214,193,407,3,262,6′ 2.5,205,USHS-MN,25,35,23,58,2.32,14,28,25,39,34,73,2.92,38,0
