,Round 1,,,,,,,NHL Scoring Stats,,,,,,,,,,,,,,,,,,,,,,,
Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Edmonton Oilers,Ryan Nugent-Hopkins,CA,C,18,2023,Red Deer Rebels ,WHL,739,205,344,549,-48,249,6′ 0,171,WHL,67,24,41,65,0.97,28,4,69,31,75,106,1.54,51,30
2,Colorado Avalanche,Gabriel Landeskog,SE,LW,18,2022,Kitchener Rangers ,OHL,738,248,323,571,77,601,6′ 1,204,OHL,61,24,22,46,0.75,51,0,53,36,30,66,1.25,61,27
3,Florida Panthers,Jonathan Huberdeau,CA,C,18,2023,Saint John Sea Dogs ,QMJHL,687,201,421,622,44,347,6′ 1,171,QMJHL,61,15,20,35,0.57,43,28,67,43,62,105,1.57,88,59
4,New Jersey Devils,Adam Larsson,SE,D,18,2023,Skelleftea AIK ,Sweden,704,35,130,165,9,417,6′ 3,197,Sweden,49,4,13,17,0.35,18,7,37,1,8,9,0.24,41,12
5,New York Islanders,Ryan Strome,CA,C,18,2023,Niagara IceDogs ,OHL,641,135,233,368,32,384,6′ 0,177,OHL,61,8,19,27,0.44,61,2,65,33,73,106,1.63,82,28
6,Ottawa Senators,Mika Zibanejad,SE,C,18,2023,Djurgardens IF ,Sweden,706,239,299,538,7,191,6′ 2,195,J18-Elit,14,8,12,20,1.43,10,0,26,5,4,9,0.35,2,1
7,Winnipeg Jets,Mark Scheifele,CA,C,18,2023,Barrie Colts ,OHL,660,240,351,591,57,262,6′ 2,184,GOJHL,51,18,37,55,1.08,20,0,66,22,53,75,1.14,35,22
8,Philadelphia Flyers,Sean Couturier,US,C,18,2022,Drummondville Voltigeurs ,QMJHL,721,180,280,460,82,277,6′ 3,197,QMJHL,68,41,55,96,1.41,47,62,58,36,60,96,1.66,36,55
9,Boston Bruins,Dougie Hamilton,CA,D,18,2023,Niagara IceDogs ,OHL,689,121,265,386,64,438,6′ 5,193,OHL,64,3,13,16,0.25,34,8,67,12,46,58,0.87,77,35
10,Minnesota Wild,Jonas Brodin,SE,D,18,2023,Farjestad BK ,Sweden,699,44,158,202,57,210,6′ 1,166,J18-Elit,13,5,7,12,0.92,4,0,42,0,4,4,0.1,12,6
11,Colorado Avalanche,Duncan Siemens,CA,D,18,2018,Saskatoon Blades ,WHL,20,1,1,2,-7,25,6′ 3,196,WHL,57,3,17,20,0.35,89,11,72,5,38,43,0.6,121,40
12,Carolina Hurricanes,Ryan Murphy,CA,D,18,2019,Kitchener Rangers ,OHL,175,8,35,43,-27,54,5′ 11,170,OHL,62,6,33,39,0.63,22,3,63,26,53,79,1.25,36,22
13,Calgary Flames,Sven Baertschi,CH,LW,18,2022,Portland Winterhawks ,WHL,292,66,72,138,-34,78,5′ 10,181,U20-Elit,9,10,13,23,2.56,4,0,66,34,51,85,1.29,74,23
14,Dallas Stars,Jamie Oleksiak,CA,D,18,2023,Northeastern ,H-East,456,29,66,95,-15,360,6′ 7,241,USHL,53,2,12,14,0.26,75,3,38,4,9,13,0.34,57,15
15,New York Rangers,J.T. Miller,US,C,18,2023,USA U-18 Development Team ,USDP/USHL,657,179,294,473,32,342,6′ 1,189,USDP/NAHL,18,10,9,19,1.06,47,0,35,12,23,35,1,38,0
16,Buffalo Sabres,Joel Armia,FI,RW,18,2023,Assat ,Finland,405,68,71,139,-10,122,6′ 3,192,Finland Jr.,27,15,6,21,0.78,32,10,48,18,11,29,0.6,24,9
17,Montreal Canadiens,Nathan Beaulieu,CA,D,18,2023,Saint John Sea Dogs ,QMJHL,429,12,84,96,8,329,6′ 1,179,QMJHL,66,12,33,45,0.68,40,43,65,12,33,45,0.69,52,44
18,Chicago Blackhawks,Mark McNeill,CA,C,18,2017,Prince Albert Raiders ,WHL,2,0,0,0,-1,0,6′ 1,211,WHL,68,9,15,24,0.35,27,10,70,32,49,81,1.16,53,4
19,Edmonton Oilers,Oscar Klefbom,SE,D,18,2020,Farjestad BK ,Sweden,378,34,122,156,-64,74,6′ 3,204,J18-Elit,19,6,10,16,0.84,27,0,23,1,1,2,0.09,2,1
20,Phoenix Coyotes,Connor Murphy,US,D,18,2023,USA U-18 Development Team ,USDP/USHL,570,34,89,123,-28,342,6′ 3,190,USDP,8,1,0,1,0.13,4,0,24,6,4,10,0.42,10,0
21,Ottawa Senators,Stefan Noesen,US,RW,18,2023,Plymouth Whalers ,OHL,226,33,28,61,-5,131,6′ 0,187,OHL,33,3,5,8,0.24,4,1,68,34,43,77,1.13,80,14
22,Toronto Maple Leafs,Tyler Biggs,US,RW,18,,USA U-18 Development Team ,USDP/USHL,,,,,,,6′ 2,205,USDP/NAHL,53,16,9,25,0.47,91,0,55,19,12,31,0.56,161,0
23,Pittsburgh Penguins,Joseph Morrow,CA,D,18,2019,Portland Winterhawks ,WHL,162,9,23,32,-12,62,6′ 0,199,WHL,63,7,24,31,0.49,59,17,60,9,40,49,0.82,67,23
24,Ottawa Senators,Matt Puempel,CA,LW,18,2019,Peterborough Petes ,OHL,87,11,5,16,-10,30,6′ 0,198,OHL,59,33,31,64,1.08,43,2,55,34,35,69,1.25,49,33
25,Toronto Maple Leafs,Stuart Percy,CA,D,18,2016,Mississauga St. Michael's Majors ,OHL,12,0,3,3,-6,2,6′ 1,187,OHL,52,3,15,18,0.35,40,5,64,4,29,33,0.52,50,50
26,Chicago Blackhawks,Phillip Danault,CA,LW,18,2023,Victoriaville Tigres ,QMJHL,493,88,177,265,64,228,6′ 0,181,QMJHL,61,10,18,28,0.46,54,19,64,23,44,67,1.05,59,17
27,Tampa Bay Lightning,Vladislav Namestnikov,RU,C,18,2023,London Knights ,OHL,572,107,133,240,-3,305,5′ 11,171,Russia-2,33,13,9,22,0.67,20,10,68,30,38,68,1,49,12
28,Minnesota Wild,Zack Phillips,CA,C,18,,Saint John Sea Dogs ,QMJHL,,,,,,,6′ 0,175,QMJHL,65,16,28,44,0.68,31,22,67,38,57,95,1.42,16,48
