Overall,Team,Player,Nat.,Pos,Age,To,Junior Team,League,GP,G,A,PTS,+/-,PIM,Height,Weight,D-1_League,D-1_GP,D-1_G,D-1_A,D-1_TP,D-1_P/G,D-1_PIM,D-1_+/-,D0_GP,D0_G,D0_A,D0_TP,D0_P/G,D0_PIM,D0_+/-
1,Florida Panthers,Aaron Ekblad,CA,D,18,2023,Barrie Colts ,OHL,563,100,198,298,72,346,6′ 3″,216,OHL,54,7,27,34,0.63,64,29,58,23,30,53,0.91,91,7
2,Buffalo Sabres,Sam Reinhart,CA,C,18,2023,Kootenay Ice ,WHL,552,173,214,387,-79,105,6′ 0″,190,WHL,72,35,50,85,1.18,22,8,60,36,69,105,1.75,11,24
3,Edmonton Oilers,Leon Draisaitl,DE,C,18,2023,Prince Albert Raiders ,WHL,578,265,382,647,23,218,6′ 1″,204,WHL,64,21,37,58,0.91,22,22,64,38,67,105,1.64,24,7
4,Calgary Flames,Samuel Bennett,CA,C,18,2023,Kingston Frontenacs ,OHL,503,106,113,219,-29,450,6′ 0″,178,OHL,60,18,22,40,0.67,87,2,57,36,55,91,1.60,118,34
5,New York Islanders,Michael Dal Colle,CA,LW,18,2022,Oshawa Generals ,OHL,112,8,13,21,-3,18,6′ 1″,182,OHL,63,15,33,48,0.76,18,19,67,39,56,95,1.42,34,8
6,Vancouver Canucks,Jake Virtanen,CA,RW,18,2021,Calgary Hitmen ,WHL,317,55,45,100,-29,219,6′ 0″,208,WHL,62,16,18,34,0.55,67,25,71,45,26,71,1.00,100,23
7,Carolina Hurricanes,Haydn Fleury,CA,D,18,2023,Red Deer Rebels ,WHL,227,9,23,32,-13,47,6′ 2″,203,WHL,66,4,15,19,0.29,21,4,70,8,38,46,0.66,46,15
8,Toronto Maple Leafs,William Nylander,CA,C/RW,18,2023,MODO Hockey ,Sweden,460,147,217,364,15,114,5′ 11″,169,Sweden Jr.,27,15,28,43,1.59,14,14,22,1,6,7,0.32,6,3
9,Winnipeg Jets,Nikolaj Ehlers,DK,LW,18,2023,Halifax Mooseheads ,QMJHL,480,164,197,361,67,165,5′ 10″,176,U20-Elit,32,26,23,49,1.53,34,0,63,49,55,104,1.65,51,65
10,Anaheim Ducks,Nicholas Ritchie,CA,LW,18,2023,Peterborough Petes ,OHL,425,77,93,170,-14,446,6′ 2″,226,OHL,41,18,17,35,0.85,50,10,61,39,35,74,1.21,136,4
